行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
钼,10.664554473878892,-8.800973127741841,2.9770000000000003,3.272727005873266,1.079178138814063,-7.461725964227018,1.0,0,4591394743.0,2,-0.24772687502259738,走弱,左上修复,53.2
旅游零售Ⅱ,-2.652874812755846,-0.1610154421366324,2.201,2.2381156473132657,-0.7100561384755233,-7.16614852123697,1.0,0,2607219111.0,2,0.04224572909091706,退潮,右上加速,52.5
电力设备,-2.0719287625628247,0.32160548165206154,0.38466412213740453,2.3684821874978335,-1.5479169737778298,-6.236896945182258,0.7022900763358778,1,118488930010.0,131,1.2921151380196,修复,右上加速,52.5
纺织服饰,-2.1081082931084087,-0.25986220891617157,3.3157540983606557,2.645824296974797,-1.6682304927935432,-4.690550485203426,0.9344262295081968,1,7317045218.0,61,0.3875215974961561,退潮,右下降温,52.4
零食,-3.96111893733706,1.9263773803114947,3.2325454545454546,2.172275638162424,-2.278456385782779,-6.920485927499842,1.0,0,1318280876.0,11,0.33325835044457075,修复,右上加速,52.3
教育出版,-2.486207058679098,-0.39369494114246745,1.7655,1.3139247876268856,-1.5556363934839057,-6.125423787972817,1.0,0,736582974.0,10,0.8238964416175427,退潮,左上修复,51.9
钛白粉,3.844318516648334,-2.090304004558728,5.238333333333333,1.5329376689613428,-2.067975320430504,1.6344126113583712,1.0,1,2253902262.0,6,0.012876523792978434,走弱,左下退潮,51.9
复合肥,-0.8442242940252686,1.1694702444487843,2.7921,0.6445641221180187,-3.1889098761562207,-4.752786289525391,1.0,0,1511013278.0,10,0.06346524712807744,修复,左下退潮,50.7
酒店餐饮,-3.440872681824807,-0.197350003085888,3.5676,2.3952374234124996,-1.4395266791891514,-6.784251475822744,1.0,0,796069559.0,5,0.5123042618766649,退潮,右上加速,50.6
综合,-2.092585600515029,-0.40024705372288216,3.106529411764706,1.7923156073879953,-1.9909023248249613,-4.2815509891111825,0.9411764705882353,1,6855354590.0,17,0.23974093132385743,退潮,左下退潮,50.5
消费电子零部件及组装,2.211173129729952,0.8557189056938794,-0.06494252873563224,0.6484273598196921,-3.2066472868133022,-0.9120334646115502,0.5287356321839081,2,122892837894.0,87,0.4784849563775777,领涨,左下退潮,50.5
建筑材料,0.17130783302850375,-0.4996507360445892,1.7475142857142856,1.84887050964202,-1.1963737565052424,-3.5451514332877743,0.7714285714285715,1,5428344806.0,35,0.09181970933276506,走弱,左下退潮,50.3
基建市政工程,-2.1015712591424944,0.01157139623630347,2.207148148148148,2.4433607505190302,-1.1294003830312538,-5.026724659589787,0.9629629629629629,0,5693700411.0,27,-0.04263494631055964,修复,右上加速,50.0
预加工食品,-3.085546412103021,0.5563600164951006,2.6941818181818182,1.7957990157251968,-1.339401369467963,-6.158829145328182,0.9090909090909091,0,1180836766.0,11,0.18415748698852963,修复,右上加速,49.4
风力发电,-7.564200793746572,1.4295737820641765,1.9531333333333332,1.029129558854991,-1.5089599039405877,-10.699141767252273,0.9333333333333333,1,3921905641.0,15,-0.037752972214249,修复,右上加速,49.3
基础化工,2.5532976023880494,-2.213822196933967,2.3585562913907285,2.959896513156135,-1.5342654810886258,-1.869929800647141,0.7152317880794702,14,94025619592.0,151,0.3633865926393838,走弱,左下退潮,48.8
调味发酵品Ⅱ,0.07815737260965146,0.4014460475894912,2.0526666666666666,1.820657621597177,-2.103788053717459,-3.6910834341216447,0.8666666666666667,0,5446857052.0,15,-0.06730782545195224,领涨,左下退潮,48.3
医药商业,-3.331766489101773,-0.6065506777764224,4.646625,3.6244251977342268,-1.940141957963959,-5.850822741110373,1.0,0,1190251562.0,8,1.0323151016444236,退潮,右上加速,48.1
板材,-2.2981151363230055,-0.32197598139152256,2.3775882352941173,3.2993912758415123,-0.758755939235578,-5.9739762403539505,0.9411764705882353,0,3956784064.0,17,-0.10283797841977893,退潮,右上加速,47.7
印制电路板,9.218408782871197,-3.3719740603239003,-2.4145333333333334,-2.332977831785499,-0.4524370811271994,2.0214495200234106,0.2222222222222222,1,129504323990.0,45,0.23339437190293144,走弱,左下退潮,47.5
铅锌,6.8963450146637095,-0.39363188677070343,3.1165000000000003,3.5790240881485413,-2.8571213732412337,1.6503960041585497,0.9166666666666666,0,16275957504.0,12,-0.08379232072321185,走弱,左下退潮,47.4
工程机械,2.2615624889150845,-3.7522537863566305,2.9566923076923075,3.700269886737062,-1.2406841928191858,-1.5987530252141724,0.8461538461538461,1,2614625470.0,13,0.39104441758849506,走弱,左下退潮,47.3
清洁小家电,-1.9697928616762523,-1.590904511215646,2.72625,6.738574940480335,-0.4315267226381425,-5.81153235837788,0.875,0,1349765091.0,8,0.8758099976822835,退潮,右上加速,47.2
普钢,-3.546910820628172,-0.7967472330529448,3.282833333333333,2.7937391257396804,-0.9116458300245989,-6.385356221547056,1.0,0,577898375.0,6,0.25705268522550884,退潮,右上加速,47.2
食用菌,-3.9658678937313856,-0.7916687976171154,5.220750000000001,3.2631785007916525,-1.706207069791199,-6.505803759323103,1.0,0,537366457.0,4,2.2314857627792795,退潮,右下降温,46.7
门户网站,2.878786136632986,-2.5328178322141683,1.2487777777777778,-2.3032157709787393,-2.053560187350101,-4.303644387720517,0.8888888888888888,0,4067964803.0,9,3.1053168114908356,走弱,左下退潮,46.6
租赁,-1.6770616297676142,-1.0537241533516022,2.6906666666666665,1.1651028856035417,-1.6352786769037175,-6.880139049503519,1.0,0,770234518.0,3,0.07088509473297933,退潮,左上修复,46.1
光伏辅材,-4.57624877724531,-1.2324458523278434,1.2365000000000002,2.015047992258312,0.0204308696436728,-10.662990031832964,0.6666666666666666,2,9114201330.0,18,1.7043086098233733,退潮,右上加速,46.0
信托,-1.55554418386998,-0.7142222306879221,3.1553333333333335,2.0772483713123124,-1.9311298644272612,-4.18833788881442,1.0,0,535702685.0,3,-0.06476204762132365,退潮,右下降温,46.0
血液制品,-7.027730239055399,-0.24374312751212615,4.398333333333333,4.0535860511495825,-1.2969455931676088,-10.105122743551242,1.0,0,922910078.0,6,0.3150903197051269,退潮,右上加速,45.8
玻纤制造,15.166541563433578,0.32457238300721275,-2.39375,-8.94893166529236,-3.0665120663870504,5.657294101056687,0.25,0,32387882365.0,8,0.18395928357090985,领涨,左下退潮,45.6
多元金融,-1.0765001893380515,-0.7613125755808431,3.600909090909091,3.5131184886325384,-1.1900570752754525,-4.619270689476263,0.8181818181818182,0,2640891196.0,11,0.4124714226326638,退潮,右下降温,45.4
食品及饲料添加剂,-2.1460905022125125,-0.3740290282232522,3.4328749999999997,1.495237800385807,-2.865016878900628,-4.5183751246941295,1.0,0,3367453975.0,24,0.24480532530766896,退潮,左下退潮,45.3
民爆制品,-3.3622377971022304,-0.1553765919165908,2.3694615384615387,2.8979632793352694,-1.392006663545542,-5.288050327662264,0.9230769230769231,0,3181215257.0,13,0.07706674464479035,退潮,右上加速,45.0
医疗美容,-3.692807871051988,-0.9956789267620758,2.556,4.220615151680018,-0.3153838925973096,-6.685651802787573,1.0,0,19407023.0,1,-0.18096643489952524,退潮,右上加速,44.9
氮肥,-3.741743337276082,-0.24080264170578033,4.153,3.0050019796964644,-2.2132076149944835,-6.315593168794765,1.0,0,2644484345.0,6,0.18402322726484566,退潮,右下降温,44.9
传媒,-5.006093841391057,-0.48687859937718764,2.7847,2.0596348753620264,-2.1566403096708764,-7.235491060833721,0.9125,2,24172556307.0,80,0.6860392972470644,退潮,右下降温,44.8
涤纶,0.6117701292687036,-0.10011941043588868,2.0788,2.0198494136054013,-2.546879841896288,-4.091325229169829,0.7,0,1491989106.0,10,0.19348153070887042,走弱,左下退潮,44.5
纺织服装设备,0.41675866228291597,0.18882178393514315,-0.9313333333333333,-1.0573304951753237,-1.6557875036921188,-6.236694295689005,0.3333333333333333,0,2938490040.0,12,-0.06069442026981586,领涨,左上修复,43.9
能源及重型设备,-1.8230854891811124,-1.0491752229042748,2.1618166666666667,1.161703062326258,-2.025781249443137,-5.3824003066673125,0.8,3,13248534768.0,60,0.05160855454738544,退潮,左下退潮,43.7
农商行Ⅲ,-3.0531167490565205,-0.0975214308408879,1.228,-1.103496563953954,-2.6313723806982603,-7.760209846668131,1.0,0,1294346522.0,10,-0.1292131497846759,退潮,左上修复,43.7
固废治理,-2.7865326681552354,-0.5120281313040577,2.283941176470588,0.87659673751046,-3.0451566744277403,-7.272009614303865,0.9117647058823529,1,6733240647.0,34,0.4660208265710972,退潮,左下退潮,43.5
油服工程,-4.760137390658707,-0.008433676546332869,2.688125,3.892098082849982,-0.9514091156782811,-5.664741042460209,0.875,0,1460798163.0,8,0.053254348035196575,退潮,右上加速,43.2
有色金属,4.385575669205143,-4.295702219966097,2.0504444444444445,4.422851196863875,-2.3859755949511507,-1.6994324863519483,0.7333333333333333,2,48004456123.0,45,0.3027396350706506,走弱,左下退潮,43.1
航海装备Ⅲ,-1.4655840127687167,-2.0089315531192553,1.9887000000000001,2.4543282390197207,-2.4471519029242716,-5.469342921713305,1.0,0,8556406498.0,10,0.5132846556783979,退潮,左下退潮,43.0
烘焙食品,-3.294575870736253,-0.27711049384311703,2.6057777777777775,1.7806634149208467,-1.5613196650526961,-8.073751653739548,0.8888888888888888,0,528423946.0,9,0.11686319677820611,退潮,左上修复,42.8
房地产,-4.222356121796652,-0.8210508797352022,2.804730158730159,1.3993442097102626,-1.9239315501800691,-6.801167101701566,0.873015873015873,4,17453417852.0,63,0.15503915411244695,退潮,左上修复,42.5
塑料包装,3.026241446094454,-1.814110468079558,1.4296250000000001,1.7734301834072541,-1.6165503657274205,-3.6055360926791624,0.875,0,1901541263.0,8,-0.17966378095434732,走弱,左下退潮,42.4
餐饮,-4.421231530672916,-0.41349950080141323,3.013,1.3218568769377548,-1.8404273428991758,-7.625628674809681,1.0,0,156538136.0,4,-0.03885839756507736,退潮,左上修复,42.4
焦炭Ⅱ,-8.73164747875624,-0.5222443500403564,3.2235714285714288,2.1598839386713697,-1.0080683346552322,-10.800622922947644,1.0,0,859256491.0,7,0.037834506995486406,退潮,右上加速,42.1
航运港口,-3.3032620813242315,0.11794544199133956,1.7181875,0.6115429119978977,-2.757327325352721,-6.1071471921429925,0.9375,0,2050208566.0,16,0.010092693737861369,修复,左上修复,41.5
医药流通,-2.6755734253610997,-0.8267822441127436,3.416090909090909,3.053085388384935,-2.6818836160577564,-5.750844004357569,1.0,0,2266534039.0,22,0.14710412036672804,退潮,右下降温,41.2
通信,-3.305684361720422,-2.1038249264155633,2.8287567567567566,4.499497609136061,-2.361922474961198,-5.24522027407095,0.7837837837837838,4,23728833420.0,37,2.323486615467946,退潮,右下降温,41.1
工程机械整机,-2.201341898683514,-0.20141252209114527,0.822,0.22537434431708636,-2.1229605549048625,-5.989546010573399,0.7272727272727273,0,7862251344.0,22,0.2572816845648451,退潮,左下退潮,40.9
电力,-5.436993565469508,-0.1011375549506844,2.201061224489796,1.6550605817698516,-2.3095348068378208,-8.363275506175539,0.9183673469387755,1,14573975531.0,49,-0.19429509837797276,退潮,右上加速,39.8
横向通用软件,-8.782991216052412,-5.209880245976625,2.152942857142857,8.685429628737197,2.303086422978562,-13.07211281552716,0.8857142857142857,0,12739490346.0,35,1.2119458206287956,退潮,右上加速,39.7
综合电力设备商,-2.6640605878736667,-0.4389411347080457,0.2975,2.0035820389625147,-3.205531788424132,-5.813783217922063,1.0,0,2737815985.0,2,-0.08166746241957101,退潮,右上加速,39.5
公用事业,-4.58177472436494,-2.0228064479435006,3.234741935483871,2.881882895351251,-2.1148718810270917,-6.730290426686258,0.9032258064516129,2,6906376391.0,31,0.519096144009574,退潮,右上加速,39.1
钢结构,-4.026664990466096,0.726436286971754,1.1388,0.4278815314267437,-1.979158633558431,-7.8152553743426445,0.6,0,920907872.0,10,0.09954469534475763,修复,左上修复,38.5
